,RandomForest,DecisionTree,AdaBoostRegressor,XGB,CatBoost,ARIMA
mae,1081.5357142857142,811.0,885.4801587301587,812.020263671875,829.2561785265117,651.8702586178063
mse,3413692.921814286,2368539.5714285714,2385773.8572530863,2370256.7902554697,2411501.5892162886,771835.4489700434
r2,0.25609506181531505,0.48385272963125436,0.4800970695222223,0.4834785168375053,0.47449053510507677,0.8318032069358917
