iter	RMSE
0	2706.407591
1	2666.425272
2	2624.679069
3	2580.431668
4	2536.771321
5	2495.291717
6	2453.818157
7	2414.881794
8	2376.842683
9	2343.585819
10	2312.246547
11	2276.193648
12	2238.073047
13	2208.241685
14	2171.488657
15	2137.846871
16	2106.705536
17	2073.570657
18	2042.450833
19	2011.795556
20	1979.672644
21	1960.494386
22	1935.780669
23	1906.375026
24	1882.359525
25	1853.172964
26	1824.336121
27	1797.233717
28	1771.003888
29	1744.564993
30	1716.660791
31	1691.213364
32	1667.001006
33	1642.414519
34	1617.717604
35	1597.034654
36	1572.848862
37	1551.875191
38	1529.204312
39	1509.087433
40	1487.512573
41	1464.994473
42	1445.559301
43	1426.347159
44	1404.60399
45	1387.098364
46	1366.477505
47	1351.965842
48	1333.268628
49	1313.743522
50	1295.490384
51	1279.145781
52	1261.569995
53	1244.608204
54	1228.12781
55	1212.221667
56	1194.833916
57	1178.839318
58	1163.236762
59	1147.500233
60	1133.478032
61	1118.66689
62	1104.01444
63	1089.176632
64	1074.38706
65	1059.804266
66	1045.39553
67	1031.659746
68	1019.825006
69	1006.61334
70	992.8259861
71	981.9368543
72	969.2774579
73	956.6145406
74	945.688074
75	936.0891426
76	924.2482974
77	912.2940883
78	900.8324534
79	890.9606829
80	878.6191745
81	868.1518448
82	857.2776311
83	847.7989534
84	837.4372244
85	828.6270561
86	818.1095055
87	808.3899997
88	798.1839271
89	788.842169
90	779.9237453
91	770.9256937
92	762.528796
93	753.3657617
94	745.6991223
95	737.1334743
96	728.6847656
97	720.0802988
98	711.8138894
99	704.7206688
100	697.9284677
101	689.9674631
102	682.8050335
103	675.5905535
104	668.2081522
105	660.4746209
106	655.3497782
107	649.7840197
108	642.0392204
109	635.6233602
110	627.8818549
111	621.6302871
112	614.8320128
113	608.9881021
114	604.1941741
115	598.6660026
116	593.3295988
117	587.2379497
118	582.1382581
119	576.4224059
120	570.2061801
121	564.324562
122	558.4688988
123	553.0111817
124	546.8042843
125	541.6831493
126	536.8717503
127	532.1437751
128	526.1265554
129	521.2252657
130	515.5496479
131	510.5535147
132	506.1830029
133	502.3755237
134	496.8334409
135	492.1537559
136	487.3530546
137	484.200653
138	480.6499664
139	475.7356946
140	471.037973
141	466.2681002
142	461.7392763
143	457.3282294
144	455.5592302
145	451.9508784
146	448.2775373
147	445.0323151
148	440.9669954
149	437.2705305
150	432.8748162
151	430.7144334
152	427.3205328
153	423.0288115
154	419.2516057
155	415.2907866
156	411.2285356
157	408.1303532
158	405.7377836
159	402.2321141
160	398.2820408
161	394.4699372
162	391.3461277
163	388.5095895
164	385.8068259
165	383.6830894
166	380.3701866
167	377.3416527
168	375.2404302
169	372.1926827
170	369.1209546
171	365.9584619
172	364.1545853
173	360.7590899
174	359.2170343
175	356.0495296
176	352.6541829
177	349.744814
178	347.5395192
179	344.462453
180	342.7425178
181	340.1863075
182	337.481028
183	334.681841
184	333.3403057
185	330.5032981
186	327.5579456
187	325.7719734
188	323.1001045
189	320.2366441
190	318.1598038
191	315.9446812
192	313.6221229
193	312.2871705
194	310.9750764
195	308.4171826
196	307.2484238
197	304.6680621
198	302.2657428
199	299.8463547
200	297.3756709
201	295.1238256
202	293.0147225
203	290.9670384
204	289.4231642
205	288.5035721
206	286.3792526
207	284.4292087
208	282.3380709
209	280.8900115
210	279.852581
211	278.5590927
212	277.7165446
213	275.7228996
214	274.5040382
215	273.3666418
216	272.2528583
217	271.2019053
218	269.1335183
219	267.1852002
220	266.1237466
221	265.1892989
222	264.3082811
223	262.4573299
224	260.4439181
225	258.9773763
226	256.8538342
227	254.7567683
228	252.9162468
229	252.1184128
230	251.0770084
231	249.2910511
232	248.4239973
233	246.7142953
234	244.8750337
235	243.2461146
236	242.3875553
237	240.6871308
238	239.7742129
239	239.0591245
240	237.5456119
241	235.9662265
242	235.3263256
243	233.9563415
244	232.3171907
245	230.7645397
246	229.2335335
247	228.5753052
248	227.8453941
249	227.245305
250	226.462236
251	224.9038735
252	223.5920111
253	222.9137168
254	221.8082564
255	221.204859
256	219.4642153
257	218.7362829
258	217.8496538
259	217.2541621
260	215.7476233
261	215.0212116
262	213.5191365
263	212.8920028
264	211.9059058
265	211.1999774
266	210.2459332
267	209.7029389
268	209.112907
269	208.4770514
270	207.7505435
271	207.1031687
272	206.5727347
273	205.9750427
274	205.4712201
275	204.8166549
276	204.278486
277	203.7508443
278	203.278356
279	202.8059378
280	202.3586578
281	201.958108
282	201.4076403
283	200.9280098
284	200.4053437
285	199.9938706
286	199.6019117
287	199.1028011
288	198.7292213
289	198.2856552
290	197.8018263
291	197.324413
292	196.9718669
293	196.5185434
294	195.2006039
295	194.8187292
296	194.4473531
297	194.0503591
298	193.7187538
299	193.2035604
300	192.8234824
301	192.4856273
302	191.9670728
303	191.6384583
304	191.2393419
305	190.9320499
306	190.5607162
307	190.1884758
308	189.6549035
309	189.3466735
310	188.9858172
311	188.6779756
312	188.311156
313	188.0085295
314	187.6373072
315	187.1333113
316	186.8109203
317	186.438784
318	186.0996336
319	185.818117
320	185.4569517
321	185.1813365
322	184.909005
323	184.5679696
324	184.2381191
325	183.9751473
326	183.7133464
327	183.4544759
328	183.1420457
329	182.8530998
330	182.6044158
331	182.3750211
332	182.137166
333	181.9126939
334	181.6740666
335	181.4379982
336	181.1972888
337	180.9658299
338	180.663299
339	180.4371301
340	180.1898452
341	179.9684445
342	179.6901484
343	179.4738114
344	179.2598157
345	179.0481382
346	178.769344
347	178.5393049
348	178.3344931
349	178.0652719
350	177.8651569
351	177.6672227
352	177.4714475
353	177.2778096
354	177.0862873
355	176.8968593
356	176.7095046
357	176.5242021
358	176.3409311
359	176.0964668
360	175.8553594
361	175.678531
362	174.4991128
363	174.2649175
364	174.093348
365	173.9236714
366	173.7558681
367	173.5311618
368	173.3672606
369	172.2180742
370	172.0570748
371	170.9314936
372	170.7164869
373	170.504448
374	170.2953362
375	170.1429742
376	168.7877541
377	167.7109043
378	167.5081979
379	167.3609936
380	167.162899
381	166.9675418
382	166.8255523
383	165.5251469
384	165.3853268
385	165.1965436
386	165.0599989
387	164.1176958
388	163.9341317
389	163.7531135
390	163.6007184
391	163.4242349
392	162.1766273
393	162.0029443
394	161.8316698
395	160.7927574
396	160.6246421
397	159.7516731
398	159.5867246
399	159.4240624
400	159.3060692
401	158.3082443
402	158.1500357
403	157.994021
404	156.9282419
405	156.7747714
406	156.6234282
407	156.4773834
408	155.5204769
409	155.3737519
410	155.2290595
411	154.1117342
412	153.907289
413	153.7665363
414	153.6277335
415	152.7097235
416	152.573477
417	152.4391167
418	152.245382
419	151.3468747
420	151.2165551
421	150.2520111
422	150.0647785
423	149.881482
424	148.8501854
425	148.7252101
426	147.8778351
427	147.6555502
428	146.6669257
429	146.5458808
430	146.4265104
431	145.6122288
432	145.4950523
433	145.3264026
434	144.5290479
435	144.4346886
436	144.3222785
437	144.1177467
438	143.3371736
439	143.1784932
440	142.2630555
441	142.1742705
442	141.4243198
443	141.2306588
